Accession_ID,Lineage,province,merged_lineage,date
EPI_ISL_17697706,XBB.1.16.1,Guangdong,XBB.1.16*,2023-05-01
EPI_ISL_18009782,GF.1,Beijing,XBB.1.5*,2023-05-02
EPI_ISL_18009734,FL.4,Beijing,XBB.1.9*,2023-05-02
EPI_ISL_17999078,DY.2,Xinjiang,BA.5.2*,2023-05-02
EPI_ISL_17696849,XBB.1.9.1,Shanghai,XBB.1.9*,2023-05-02
EPI_ISL_17655955,BN.1.3,Taiwan,BA.2.75*,2023-05-02
EPI_ISL_17625373,FU.1,Hubei,XBB.1.16*,2023-05-02
EPI_ISL_17625343,BF.7.14,Hubei,BF.7.14*,2023-05-02
EPI_ISL_17698098,BN.1.2,Guangdong,BA.2.75*,2023-05-02
EPI_ISL_17652439,DY.1,Gansu,BA.5.2*,2023-05-02
EPI_ISL_17645649,BF.7.14,Heilongjiang,BF.7.14*,2023-05-02
EPI_ISL_17645647,DY.2,Heilongjiang,BA.5.2*,2023-05-02
EPI_ISL_17696878,BN.1.2,Shanghai,BA.2.75*,2023-05-03
EPI_ISL_17678446,XBB.1.5,Shanghai,XBB.1.5*,2023-05-03
EPI_ISL_17678422,BF.7.14,Shanghai,BF.7.14*,2023-05-03
EPI_ISL_17678393,BF.7.14.2,Shanghai,BF.7.14*,2023-05-03
EPI_ISL_17625409,XBB.1.22.1,Hubei,XBB.1.22*,2023-05-03
EPI_ISL_17850661,BF.7.14,Liaoning,BF.7.14*,2023-05-03
EPI_ISL_17697841,EG.1,Guangdong,XBB.1.9*,2023-05-03
EPI_ISL_18009803,XBB.1.9.6,Beijing,XBB.1.9*,2023-05-04
EPI_ISL_17696976,XBB.1.5,Henan,XBB.1.5*,2023-05-04
EPI_ISL_17684384,XBB.1.9.1,Hubei,XBB.1.9*,2023-05-04
