,EventTime,Origin,Destination
533,2023.087657,Tianjin,Hebei
561,2023.087657,Liaoning,Fujian
205,2023.087667,Ningxia,Yunnan
488,2023.088427,Hebei,Henan
1783,2023.090367,Hubei,Heilongjiang
1819,2023.090367,Gansu,Tianjin
42,2023.090397,Anhui,Hubei
434,2023.090397,Zhejiang,Xinjiang
1010,2023.091877,Shanghai,Jiangsu
1168,2023.091947,Jiangsu,Anhui
814,2023.092687,Jiangxi,Fujian
171,2023.093127,Yunnan,Hebei
402,2023.093137,Hubei,Fujian
761,2023.093137,Jiangsu,Zhejiang
921,2023.093137,Hainan,Zhejiang
2,2023.093147,Hebei,Zhejiang
281,2023.093147,Shanghai,Guangdong
336,2023.093147,Jiangxi,Zhejiang
208,2023.093637,Taiwan,Gansu
146,2023.095877,Ningxia,Hebei
343,2023.095877,Shanghai,Zhejiang
791,2023.095877,Jiangsu,Shaanxi
904,2023.095877,Jiangsu,Shaanxi
25,2023.095887,Taiwan,Hong Kong
416,2023.097877,Anhui,Shanxi
446,2023.098617,Zhejiang,Fujian
10,2023.098627,Beijing,Zhejiang
858,2023.098627,Hebei,Shandong
1625,2023.098777,Shanghai,Jiangsu
8,2023.099817,Beijing,Hebei
1328,2023.099857,Guangdong,Henan
1929,2023.101367,Hong Kong,Taiwan
782,2023.101837,Shaanxi,Sichuan
185,2023.104097,Sichuan,Hebei
570,2023.104097,Yunnan,Xinjiang
815,2023.104097,Jiangsu,Guangdong
1289,2023.104127,Jiangsu,Zhejiang
1513,2023.105377,Shanghai,Shanxi
526,2023.106157,Hunan,Hebei
453,2023.106837,Anhui,Guangdong
717,2023.106837,Hunan,Shanxi
797,2023.106837,Zhejiang,Hubei
813,2023.106837,Jiangxi,Anhui
922,2023.106837,Zhejiang,Shaanxi
429,2023.107747,Guangdong,Anhui
359,2023.108627,Beijing,Fujian
1316,2023.108757,Guangdong,Jiangxi
427,2023.109567,Guangdong,Hebei
179,2023.109947,Yunnan,Guangdong
368,2023.112307,Yunnan,Beijing
428,2023.112307,Guangdong,Anhui
696,2023.112307,Inner Mongolia,Tianjin
